Nome produto;Imagem principal;Imagem 2;Imagem 3;Imagem 4;Marca;Modelo;Imagens adicionais;Nome categoria
Agar Tríplice Açucar Ferro (TSI) - Marca ION - IO048-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_triplice_acucar_ferro_tsi_frasco_500g_marca_ion_io048_500_15446_1_0d17cb05f2cc1e93eddebe3d475f17a4.png;;;;IonCult;IO048-500;;Meios de Cultura
Agar Sal Manitol - Frasco 500G - Marca ION - IO053-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_sal_manitol_frasco_500g_marca_ion_io053_500_15447_1_3dc4430458673d87dd48726efd974cfd.png;;;;IonCult;IO053-500;;Meios de Cultura
Agar Sabouraud Dextrose - Frasco 500G - Marca ION - IO057-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_sabouraud_dextrose_frasco_500g_marca_ion_io057_500_15448_1_2b100e8783ce35f2ca26afcff3d5ce10.png;;;;IonCult;IO057-500;;Meios de Cultura
Agar Verde Brilhante Modificado - Frasco 500G - Marca ION - IO1150-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_verde_brilhante_modificado_io1150_500_15453_1_ca7852e8f843a7fed5134cb0d0c1e408.png;;;;IonCult;IO1150-500;;Meios de Cultura
Agar Infusão Cérebro Coração (BHI) - Frasco 500G - Marca ION - IO119-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_infusao_cerebro_coracao_bhi_frasco_500g_marca_ion_io119_500_15454_1_b86e68189036d852af88fea9ab71d7d1.png;;;;IonCult;IO119-500;;Meios de Cultura
Agar Triptona - Frasco 500G - Marca ION - IO1271-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_triptona_frasco_500g_marca_ion_io1271_500_15457_1_1b1f62c43d5d3e0dfb004f59e4e0217b.png;;;;IonCult;IO1271-500;;Meios de Cultura
Agar C.L.E.D. com azul de Bromotimol - Frasco 500G - Marca ION - IO133-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_c_l_e_d_com_azul_de_bromotimol_frasco_500g_marca_ion_io133_500_15463_1_3de13794952be34757f471090b2e283b.png;;;;IonCult;IO133-500;;Meios de Cultura
Agar Base DRBC (Dcicloran Rosa Bengal Cloranfenicol) - Frasco 500G - Marca ION - IO1438-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_base_drbc_dcicloran_rosa_bengal_cloranfenicol_frasco_500g_marca_ion_io1438_500_15465_1_1b13d579705c6681e804bd84060ad927.png;;;;IonCult;IO1438-500;;Meios de Cultura
Agar Peptona Dextrose - Frasco 500G - Marca ION - IO167-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_peptona_dextrose_io167_500_15466_1_64a47cfefd72765b9962a9c1039aaa84.png;;;;IonCult;IO167-500;;Meios de Cultura
Agar Emb Levine - Frasco 500G - Marca ION - IO180-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_emb_levine_frasco_500g_marca_ion_io180_500_15468_1_b49403172ef82bdadf36ae8c4ed25eb0.png;;;;IonCult;IO180-500;;Meios de Cultura
Agar Entérico Hektoen - Frasco 500G - Marca ION - IO203-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_enterico_hektoen_frasco_500g_marca_ion_io203_500_15469_1_fe90370c99a9cedb9d43d38e6e47572c.png;;;;IonCult;IO203-500;;Meios de Cultura
Agar Ferro Kligler - Frasco 500G - Marca ION - IO212-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_ferro_kligler_io212_500_15471_1_97db0b0953cb565c4191239aad395356.png;;;;IonCult;IO212-500;;Meios de Cultura
Agar Lisina Ferro (LIA) - Frasco 500G - Marca ION - IO232-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_lisina_ferro_lia_frasco_500g_marca_ion_io232_500_15476_1_098cbd13295c5d5ce04060a711ec4d58.png;;;;IonCult;IO232-500;;Meios de Cultura
Agar Mueller Hinton - Frasco 500G - Marca ION - IO263-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_mueller_hinton_frasco_500g_marca_ion_io263_500_15477_1_711c5f697843182c14ac1cd933f1e29d.png;;;;IonCult;IO263-500;;Meios de Cultura
Agar Base Perfringens - Frasco 500g -Marca ION - IO282-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_base_perfringens_io282_500_15479_1_7ae98cc501851348fac550aeca9c2d15.png;;;;IonCult;IO282-500;;Meios de Cultura
Agar Contagem de Placas Padrão (PCA) - Frasco 500G - Marca ION - IO298-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_contagem_de_placas_padrao_pca_frasco_500g_marca_ion_io298_500_15480_1_07bf8cbdd69869badeb677e297735632.png;;;;IonCult;IO298-500;;Meios de Cultura
Agar SS (Agar Salmonella Shigella) - Frasco 500G - Marca ION - IO310-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_ss_agar_salmonella_shigella_frasco_500g_marca_ion_io310_500_15483_1_2a373540e23cfd9912add173acdb77b2.png;;;;IonCult;IO310-500;;Meios de Cultura
Agar Citrato de Simmons - Frasco 500G - Marca ION - IO319-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_citrato_de_simmons_frasco_500g_marca_ion_io319_500_15487_1_76c49f70125b96256426c31512526df2.png;;;;IonCult;IO319-500;;Meios de Cultura
Agar Base Ureia - Frasco 500g - Marca ION - IO347-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_base_ureia_io347_500_15489_1_d2463162b2563f7fde89c26c79526e7f.png;;;;IonCult;IO347-500;;Meios de Cultura
Agar XLD (Xilose, Lisina, Deoxicolato) - Frasco 500G - Marca ION - IO361-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_xld_xilose_lisina_deoxicolato_frasco_500g_marca_ion_io361_500_15490_1_9ea816e3dea5083331aad649fd6f57ea.png;;;;IonCult;IO361-500;;Meios de Cultura
Agar R2A - Frasco 500G - Marca ION - IO399-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_r2a_io399_500_15492_1_e400d8cc1829f5ee112afd8e7ae4f136.png;;;;IonCult;IO399-500;;Meios de Cultura
Agar M-Enterococcus Base - Frasco 500G - Marca ION - IO406-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_m_enterococcus_base_frasco_500g_marca_ion_io406_500_15493_1_a0dac5a60fdf5e26e23b6a62b99cb58c.png;;;;IonCult;IO406-500;;Meios de Cultura
Agar Bile Esculina - Frasco 500G - Marca ION - IO422-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_bile_esculina_frasco_500g_marca_ion_io422_500_15494_1_a97e5b8eeb14364ebf53a5fc44da8304.png;;;;IonCult;IO422-500;;Meios de Cultura
Agar Nutriente - Frasco 500G - Marca ION - IO550-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_nutriente_frasco_500g_marca_ion_io550_500_15497_1_551f60bce254bb6fb7c477402507c107.png;;;;IonCult;IO550-500;;Meios de Cultura
Agar Fenilalanina - Frasco 500G - Marca ION - IO683-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_fenilalanina_frasco_500g_marca_ion_io683_500_15501_1_781771cd3039571d14bc1acf8d28d17a.png;;;;IonCult;IO683-500;;Meios de Cultura
Agar Luria Bertani Miller - Frasco 500G - Marca ION - IO700-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_luria_bertani_miller_frasco_500g_marca_ion_io700_500_15503_1_08de4215802edf8dd70667f56dd5d9e5.png;;;;IonCult;IO700-500;;Meios de Cultura
Agar Sabouraud Cloranfenicol - Frasco 500G - Marca ION - IO709-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_sabouraud_cloranfenicol_io709_500_15504_1_597d3a3790de0b77ba1d799ae2411b1a.png;;;;IonCult;IO709-500;;Meios de Cultura
Agar Extrato de Levedura em Pó - Frasco 500G - Marca ION - IO821-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_extrato_de_levedura_em_po_frasco_500g_marca_ion_io821_500_15509_1_879751d81283c38f4b9d39f03090009f.png;;;;IonCult;IO821-500;;Meios de Cultura
Agar MRS Lactobacillus - Frasco 500G - Marca ION - IO844-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_mrs_lactobacillus_frasco_500g_marca_ion_io844_500_15510_1_ba760a890ba984f769650b9444f84ef1.png;;;;IonCult;02_IO844-500;;Meios de Cultura
Agar M-Endo LES - Frasco 500G - Marca ION - IO876-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_m_endo_les_frasco_500g_marca_ion_io876_500_15511_1_2dc650d6ce35da167d5566e8fdf3866c.png;;;;IonCult;IO876-500;;Meios de Cultura
Agar Bacillus Cereus Base - Frasco 500G - Marca ION - IO938-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_bacillus_cereus_base_frasco_500g_marca_ion_io938_500_15512_1_de4b314190c8d6007c283ee4f41e6470.png;;;;IonCult;IO938-500;;Meios de Cultura
Agar Base Cetrimida - Frasco 500G - Marca ION - IO975-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_base_cetrimida_io975_500_15513_1_99bf538bb8295fad4ac5273eee7c95ab.png;;;;IonCult;IO975-500;;Meios de Cultura
Agar Base Sangue Columbia - Frasco 500G - Marca ION - IO994-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_base_sangue_columbia_io994_500_15514_1_76067a5896445f7fbabc350f80b498fc.png;;;;IonCult;IO994-500;;Meios de Cultura
Agar Macconkey - Frasco 500G - Marca ION - IOH603-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_macconkey_frasco_500g_marca_ion_ioh603_500_15516_1_2553008ea5280e795352f12e61005755.png;;;;IonCult;IOH603-500;;Meios de Cultura
Agar Sal Manitol - Frasco 500G - Marca ION - IOH612-500;https://images.tcdn.com.br/img/img_prod/1357340/agar_sal_mannitol_frasco_500g_marca_ion_ioh612_500_15517_1_ba0afe982dffcfedb03f406fcb382e38.png;;;;IonCult;IOH612-500;;Meios de Cultura
Lâminas para Microscopia Lapidada com Ponta Lisa - 7101-50;https://images.tcdn.com.br/img/img_prod/1357340/laminas_para_microscopia_ponta_lisa_7101_50_15533_1_5d5ea4f538d5f8c7d1b98c771893e2ca.png;https://images.tcdn.com.br/img/img_prod/1357340/laminas_para_microscopia_ponta_lisa_7101_50_15533_2_8f107f7641911acd0ac198f6c2abff74.png;;;Ionglass;7101-50;;Vidraria
Lâminas para Microscopia com Ponta Lisa - 7102-50;https://images.tcdn.com.br/img/img_prod/1357340/laminas_para_microscopia_ponta_lisa_7102_50_15534_1_3b15a37b8a63081f8f322b615b2a8cf2.png;https://images.tcdn.com.br/img/img_prod/1357340/laminas_para_microscopia_ponta_lisa_7102_50_15534_2_8f107f7641911acd0ac198f6c2abff74.png;;;Ionglass;7102-50;;Vidraria
Lâminas para Microscopia Lapidada e com Ponta Fosca - 7105-50;https://images.tcdn.com.br/img/img_prod/1357340/laminas_para_microscopia_ponta_fosca_7105_50_15536_1_6e1ef480d8bc40e612f11cd322de845e.png;https://images.tcdn.com.br/img/img_prod/1357340/laminas_para_microscopia_ponta_fosca_7105_50_15536_2_5d5ea4f538d5f8c7d1b98c771893e2ca.png;;;Ionglass;7105-50;;Vidraria
